Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class
Kevin Hervey,676,OKC,2,57,2018,UT Arlington,2017-18,UT Arlington,33,25,32.2,7.4,16.5,5.0,9.6,2.3,6.9,3.4,4.2,2.3,6.2,8.5,2.2,1.2,0.6,2.7,1.8,20.5,0.446,0.522,0.339,0.807,0.553,0.517,F,SR
Devonte' Graham,675,ATL,2,34,2018,Kansas,2017-18,Kansas,39,39,37.8,5.1,12.8,2.3,5.8,2.8,6.9,4.3,5.2,0.6,3.4,4.0,7.2,1.6,0.1,2.8,1.4,17.3,0.4,0.392,0.406,0.827,0.568,0.51,G,SR
Keita Bates-Diop,672,MIN,2,48,2018,Ohio State,2017-18,Ohio State,34,34,33.1,7.3,15.1,5.3,9.7,1.9,5.4,3.3,4.1,1.5,7.2,8.7,1.6,0.9,1.6,1.8,1.7,19.8,0.48,0.547,0.359,0.794,0.577,0.544,F,JR
Aaron Holiday,671,IND,1,23,2018,UCLA,2017-18,UCLA,33,33,37.7,6.4,13.9,3.8,7.7,2.7,6.2,4.8,5.8,0.5,3.2,3.7,5.8,1.3,0.2,3.8,2.6,20.3,0.461,0.486,0.429,0.828,0.609,0.557,G,JR
Jevon Carter,640,MEM,2,32,2018,West Virginia,2017-18,West Virginia,37,37,35.5,5.8,13.8,3.7,8.5,2.1,5.3,3.6,4.2,0.8,3.9,4.6,6.6,3.0,0.4,2.6,3.0,17.3,0.422,0.441,0.393,0.858,0.549,0.498,G,SR
Collin Sexton,632,CLE,1,8,2018,Alabama,2017-18,Alabama,33,32,29.9,5.9,13.3,4.6,9.3,1.3,4.0,5.9,7.6,1.0,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2,0.447,0.495,0.336,0.778,0.567,0.498,G,FR
Chandler Hutchison,619,CHI,1,22,2018,Boise State,2017-18,Boise State,31,31,31.0,6.6,13.9,5.1,9.8,1.5,4.1,5.3,7.2,0.9,6.8,7.7,3.5,1.5,0.3,3.4,2.4,20.0,0.475,0.523,0.359,0.728,0.575,0.528,G,SR
Miles Bridges,582,LAC,1,12,2018,Michigan State,2017-18,Michigan State,34,33,31.4,6.1,13.4,4.1,7.7,2.1,5.7,2.7,3.2,1.3,5.7,7.0,2.7,0.6,0.8,2.0,1.6,17.1,0.457,0.527,0.364,0.853,0.572,0.535,F,SO
Kevin Knox,576,NYK,1,9,2018,Kentucky,2017-18,Kentucky,37,37,32.4,5.3,11.9,3.8,7.4,1.5,4.5,3.4,4.4,0.9,4.5,5.4,1.4,0.8,0.3,2.3,2.2,15.6,0.445,0.509,0.341,0.774,0.556,0.51,F,FR
Grayson Allen,572,UTA,1,21,2018,Duke,2017-18,Duke,37,37,35.6,4.9,11.7,2.1,4.2,2.8,7.5,2.9,3.4,0.5,2.8,3.3,4.6,1.7,0.1,2.1,2.1,15.5,0.418,0.503,0.37,0.85,0.58,0.536,G,SR
Moritz Wagner,570,LAL,1,25,2018,Michigan,2017-18,Michigan,39,39,27.6,5.5,10.5,3.9,6.4,1.6,4.1,1.9,2.8,1.5,5.7,7.1,0.8,1.0,0.5,1.4,3.1,14.6,0.528,0.614,0.394,0.694,0.619,0.605,F,JR
Sviatoslav Mykhailiuk,570,LAL,2,47,2018,Kansas,2017-18,Kansas,39,39,34.5,5.3,12.1,2.3,5.5,2.9,6.6,1.2,1.4,1.1,2.8,3.9,2.7,1.2,0.3,1.7,2.5,14.6,0.434,0.423,0.444,0.804,0.572,0.556,G,SR
Donte DiVincenzo,537,MIL,1,17,2018,Villanova,2017-18,Villanova,40,10,29.3,4.7,9.8,2.6,4.5,2.1,5.3,1.9,2.7,1.2,3.6,4.8,3.5,1.1,0.2,2.0,2.1,13.4,0.481,0.575,0.401,0.71,0.608,0.59,G,SO
Gary Trent Jr.,536,SAC,2,37,2018,Duke,2017-18,Duke,37,37,33.9,4.8,11.5,2.2,5.0,2.6,6.5,2.3,2.6,0.8,3.4,4.2,1.4,1.2,0.1,1.0,1.7,14.5,0.415,0.43,0.402,0.876,0.567,0.528,G,FR
Chimezie Metu,533,SAS,2,49,2018,Southern California,2017-18,Southern California,34,33,31.0,6.0,11.5,5.7,10.4,0.4,1.2,3.3,4.5,1.9,5.6,7.4,1.6,0.8,1.7,2.0,2.6,15.7,0.523,0.548,0.3,0.73,0.574,0.538,F,JR
Shai Gilgeous-Alexander,532,CHA,1,11,2018,Kentucky,2017-18,Kentucky,37,24,33.7,4.9,10.2,4.3,8.6,0.6,1.5,3.9,4.7,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4,0.485,0.5,0.404,0.817,0.578,0.516,G,FR
Vince Edwards,511,UTA,2,52,2018,Purdue,2017-18,Purdue,35,35,31.6,5.1,10.8,3.7,7.1,1.5,3.7,2.9,3.4,2.0,5.4,7.4,2.9,0.5,0.6,2.0,1.8,14.6,0.476,0.516,0.398,0.833,0.587,0.544,F,SR
Wendell Carter Jr.,501,CHI,1,7,2018,Duke,2017-18,Duke,37,37,26.9,4.8,8.6,4.3,7.4,0.5,1.2,3.4,4.5,2.9,6.1,9.1,2.0,0.8,2.1,2.0,2.8,13.5,0.561,0.586,0.413,0.738,0.628,0.591,F,FR
Khyri Thomas,497,PHI,2,38,2018,Creighton,2017-18,Creighton,33,33,31.7,5.6,10.4,3.7,5.8,1.9,4.6,2.0,2.6,1.1,3.3,4.4,2.8,1.7,0.2,1.8,1.9,15.1,0.538,0.639,0.411,0.788,0.65,0.629,G,JR
Alize Johnson,495,IND,2,50,2018,Missouri State,2017-18,Missouri State,33,33,31.2,5.2,12.1,4.0,7.7,1.2,4.4,3.3,4.4,3.2,8.5,11.6,2.8,0.5,0.4,2.2,2.1,15.0,0.43,0.516,0.281,0.759,0.528,0.481,F,SR
Landry Shamet,477,PHI,1,26,2018,Wichita State,2017-18,Wichita State,32,32,31.7,4.8,9.8,2.2,3.9,2.6,5.9,2.7,3.2,0.4,2.8,3.2,5.2,0.7,0.2,2.1,1.9,14.9,0.489,0.56,0.442,0.825,0.655,0.622,G,SO
